ダウンロードした時刻：2019/01/23 16:22:04

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃)
,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2017/1/1,8.9,0,8,1,2.0,8,1,5.9,8,1,2.8,8,1,0,1,8,1,7.4,8,1
2017/1/2,6.5,0,8,1,1.4,8,1,6.5,8,1,2.5,8,1,0,1,8,1,7.2,8,1
2017/1/3,8.2,0,8,1,2.2,8,1,5.6,8,1,0.5,8,1,0,1,8,1,8.0,8,1
2017/1/4,8.7,0,8,1,2.6,8,1,5.3,8,1,2.5,8,1,0,1,8,1,8.5,8,1
2017/1/5,9.0,0,8,1,4.9,8,1,3.8,8,1,0.0,8,1,0,1,8,1,6.7,8,1
2017/1/6,8.8,0,8,1,2.3,8,1,3.9,8,1,4.0,8,1,0,1,8,1,4.5,8,1
2017/1/7,8.7,0,8,1,1.7,8,1,4.5,8,1,2.3,8,1,0,1,8,1,4.1,8,1
2017/1/8,0.0,0,8,1,2.9,8,1,6.2,8,1,9.8,8,1,20.5,0,8,1,3.9,8,1
2017/1/9,2.2,0,8,1,3.3,8,1,8.6,8,1,7.0,8,1,5.5,0,8,1,7.2,8,1
2017/1/10,8.9,0,8,1,2.4,8,1,6.4,8,1,0.3,8,1,0,1,8,1,8.1,8,1
2017/1/11,9.0,0,8,1,2.4,8,1,4.5,8,1,0.3,8,1,0,1,8,1,6.9,8,1
2017/1/12,8.2,0,8,1,1.7,8,1,4.5,8,1,0.5,8,1,0,1,8,1,6.0,8,1
2017/1/13,6.7,0,8,1,2.0,8,1,4.9,8,1,2.3,8,1,0.0,0,8,1,6.2,8,1
2017/1/14,3.2,0,8,1,2.6,8,1,3.8,8,1,5.8,8,1,0.0,0,8,1,2.4,8,1
2017/1/15,8.1,0,8,1,3.1,8,1,3.1,8,1,1.5,8,1,0,1,8,1,0.7,8,1
2017/1/16,9.3,0,8,1,3.5,8,1,3.4,8,1,0.8,8,1,0,1,8,1,3.2,8,1
2017/1/17,9.1,0,8,1,2.3,8,1,4.9,8,1,1.0,8,1,0,1,8,1,5.4,8,1
2017/1/18,9.1,0,8,1,2.5,8,1,5.2,8,1,4.3,8,1,0,1,8,1,5.8,8,1
2017/1/19,5.6,0,8,1,3.0,8,1,4.5,8,1,8.0,8,1,0,1,8,1,6.4,8,1
2017/1/20,0.0,0,8,1,2.6,8,1,4.9,8,1,10.0,8,1,0.0,0,8,1,3.0,8,1
2017/1/21,9.4,0,8,1,3.9,8,1,4.7,8,1,3.5,8,1,0,1,8,1,5.9,8,1
2017/1/22,9.3,0,8,1,2.0,8,1,4.5,8,1,2.5,8,1,0,1,8,1,6.0,8,1
2017/1/23,6.9,0,8,1,4.5,8,1,2.9,8,1,2.8,8,1,0,1,8,1,4.0,8,1
2017/1/24,9.4,0,8,1,3.6,8,1,2.5,8,1,0.5,8,1,0,1,8,1,2.5,8,1
2017/1/25,9.6,0,8,1,3.3,8,1,2.9,8,1,0.0,8,1,0,1,8,1,3.9,8,1
2017/1/26,9.5,0,8,1,2.2,8,1,4.0,8,1,0.0,8,1,0.0,0,8,1,4.6,8,1
2017/1/27,5.2,0,8,1,3.1,8,1,5.9,8,1,6.5,8,1,0,1,8,1,8.8,8,1
2017/1/28,9.1,0,8,1,2.1,8,1,5.4,8,1,2.0,8,1,0,1,8,1,8.4,8,1
2017/1/29,2.9,0,8,1,1.8,8,1,6.9,8,1,10.0,8,1,0,1,8,1,8.0,8,1
2017/1/30,7.9,0,8,1,3.0,8,1,8.2,8,1,5.0,8,1,0.0,0,8,1,11.2,8,1
2017/1/31,9.3,0,8,1,4.6,8,1,3.4,8,1,2.3,8,1,0,1,8,1,5.9,8,1
