,date,日照時間(時間),平均風速(m/s),平均蒸気圧(hPa),平均雲量(10分比),降水量の合計(mm),平均気温(℃)
0,2017/1/1,8.9,2.0,5.9,2.8,0.0,7.4
1,2017/1/2,6.5,1.4,6.5,2.5,0.0,7.2
2,2017/1/3,8.2,2.2,5.6,0.5,0.0,8.0
3,2017/1/4,8.7,2.6,5.3,2.5,0.0,8.5
4,2017/1/5,9.0,4.9,3.8,0.0,0.0,6.7
5,2017/1/6,8.8,2.3,3.9,4.0,0.0,4.5
6,2017/1/7,8.7,1.7,4.5,2.3,0.0,4.1
7,2017/1/8,0.0,2.9,6.2,9.8,20.5,3.9
8,2017/1/9,2.2,3.3,8.6,7.0,5.5,7.2
9,2017/1/10,8.9,2.4,6.4,0.3,0.0,8.1
10,2017/1/11,9.0,2.4,4.5,0.3,0.0,6.9
11,2017/1/12,8.2,1.7,4.5,0.5,0.0,6.0
12,2017/1/13,6.7,2.0,4.9,2.3,0.0,6.2
13,2017/1/14,3.2,2.6,3.8,5.8,0.0,2.4
14,2017/1/15,8.1,3.1,3.1,1.5,0.0,0.7
15,2017/1/16,9.3,3.5,3.4,0.8,0.0,3.2
16,2017/1/17,9.1,2.3,4.9,1.0,0.0,5.4
17,2017/1/18,9.1,2.5,5.2,4.3,0.0,5.8
18,2017/1/19,5.6,3.0,4.5,8.0,0.0,6.4
19,2017/1/20,0.0,2.6,4.9,10.0,0.0,3.0
20,2017/1/21,9.4,3.9,4.7,3.5,0.0,5.9
21,2017/1/22,9.3,2.0,4.5,2.5,0.0,6.0
22,2017/1/23,6.9,4.5,2.9,2.8,0.0,4.0
23,2017/1/24,9.4,3.6,2.5,0.5,0.0,2.5
24,2017/1/25,9.6,3.3,2.9,0.0,0.0,3.9
25,2017/1/26,9.5,2.2,4.0,0.0,0.0,4.6
26,2017/1/27,5.2,3.1,5.9,6.5,0.0,8.8
27,2017/1/28,9.1,2.1,5.4,2.0,0.0,8.4
28,2017/1/29,2.9,1.8,6.9,10.0,0.0,8.0
29,2017/1/30,7.9,3.0,8.2,5.0,0.0,11.2
30,2017/1/31,9.3,4.6,3.4,2.3,0.0,5.9
31,2017/2/1,7.2,2.7,4.0,7.3,0.0,6.0
32,2017/2/2,9.6,4.3,2.7,0.0,0.0,4.5
33,2017/2/3,9.6,4.1,3.5,0.0,0.0,7.4
34,2017/2/4,9.6,3.1,4.5,0.0,0.0,8.2
35,2017/2/5,2.5,1.7,5.8,8.8,0.0,7.2
36,2017/2/6,6.1,3.7,5.6,4.3,0.0,8.7
37,2017/2/7,9.5,5.2,2.9,1.0,0.0,5.6
38,2017/2/8,9.5,3.2,3.2,6.3,0.0,6.3
39,2017/2/9,0.0,2.7,6.2,10.0,8.0,2.4
40,2017/2/10,4.0,3.6,5.0,8.3,0.5,4.3
41,2017/2/11,7.3,2.6,2.9,4.3,0.0,4.1
42,2017/2/12,9.5,4.0,3.6,0.0,0.0,5.0
43,2017/2/13,8.0,3.3,3.3,0.8,0.0,6.3
44,2017/2/14,8.9,3.5,3.3,3.5,0.0,6.1
45,2017/2/15,9.9,3.1,3.6,0.5,0.0,6.5
46,2017/2/16,9.9,2.2,5.7,2.3,0.0,7.3
47,2017/2/17,8.2,4.9,9.2,4.5,0.0,13.2
48,2017/2/18,2.9,2.9,4.6,9.0,0.0,8.1
49,2017/2/19,9.6,3.7,4.3,3.3,0.0,6.2
50,2017/2/20,5.6,4.1,8.0,6.0,6.5,9.9
51,2017/2/21,9.7,5.6,3.5,0.8,0.0,6.1
52,2017/2/22,4.3,3.5,5.7,8.3,0.0,7.0
53,2017/2/23,1.5,4.5,10.1,10.0,0.5,12.4
54,2017/2/24,3.5,4.5,3.4,10.0,0.0,7.4
55,2017/2/25,8.1,2.2,5.9,5.3,0.0,7.5
56,2017/2/26,8.4,2.2,5.7,5.0,0.0,8.6
57,2017/2/27,2.0,3.0,6.0,9.0,0.0,6.2
58,2017/2/28,8.8,2.6,5.4,3.3,0.0,5.5
59,2017/3/1,5.6,1.8,6.9,6.5,4.5,6.4
60,2017/3/2,0.0,2.3,9.4,10.0,9.5,6.8
61,2017/3/3,8.3,3.1,6.2,2.8,0.0,8.7
62,2017/3/4,6.1,2.5,6.2,9.3,0.0,8.7
63,2017/3/5,8.3,2.4,7.8,5.3,0.0,10.4
64,2017/3/6,1.1,1.9,9.8,9.3,1.0,9.3
65,2017/3/7,2.7,3.2,5.2,6.8,0.5,6.6
66,2017/3/8,8.1,1.9,4.3,2.3,0.0,5.5
67,2017/3/9,11.1,2.8,4.5,0.8,0.0,7.5
